Cód.,Município,Salario
1715507,Oliveira de Fátima (TO),1350.61
1715705,Palmeirante (TO),1686.58
1715754,Palmeirópolis (TO),1605.38
1716109,Paraíso do Tocantins (TO),1761.09
1716208,Paranã (TO),1579
1716307,Pau D'Arco (TO),1461.3
1716505,Pedro Afonso (TO),2391.96
1716604,Peixe (TO),1922.09
1716653,Pequizeiro (TO),1476.57
1716703,Colméia (TO),1618.26
1717008,Pindorama do Tocantins (TO),1594.26
1717206,Piraquê (TO),1626.79
1717503,Pium (TO),1543.15
1717800,Ponte Alta do Bom Jesus (TO),1256.72
1717909,Ponte Alta do Tocantins (TO),1583.2
1718006,Porto Alegre do Tocantins (TO),1406.48
1718204,Porto Nacional (TO),2101.21
1718303,Praia Norte (TO),1554.91
1718402,Presidente Kennedy (TO),1368.32
1718451,Pugmil (TO),1532.01
1718501,Recursolândia (TO),1670.23
1718550,Riachinho (TO),1285.69
1718659,Rio da Conceição (TO),1401.13
1718709,Rio dos Bois (TO),1329.8
1718758,Rio Sono (TO),1547.37
1718808,Sampaio (TO),1474.54
1718840,Sandolândia (TO),1243.92
1718865,Santa Fé do Araguaia (TO),1841.42
1718881,Santa Maria do Tocantins (TO),1638.36
1718899,Santa Rita do Tocantins (TO),1520.57
1718907,Santa Rosa do Tocantins (TO),1536.43
1719004,Santa Tereza do Tocantins (TO),1497.99
1720002,Santa Terezinha do Tocantins (TO),1476.67
1720101,São Bento do Tocantins (TO),1563.1
1720150,São Félix do Tocantins (TO),1567.73
1720200,São Miguel do Tocantins (TO),1580.54
1720259,São Salvador do Tocantins (TO),1339.08
1720309,São Sebastião do Tocantins (TO),1410.66
1720499,São Valério (TO),1467.88
1720655,Silvanópolis (TO),1692.46
1720804,Sítio Novo do Tocantins (TO),1432.68
1720853,Sucupira (TO),1167.91
1720903,Taguatinga (TO),1881.43
1720937,Taipas do Tocantins (TO),1326.16
1720978,Talismã (TO),1819.65
1721000,Palmas (TO),3692.38
1721109,Tocantínia (TO),1564.42
1721208,Tocantinópolis (TO),1604.64
1721257,Tupirama (TO),1557.98
1721307,Tupiratins (TO),1354.67
1722081,Wanderlândia (TO),1787.6
1722107,Xambioá (TO),1952.69
2100055,Açailândia (MA),2043.92
2100105,Afonso Cunha (MA),1731.76
2100154,Água Doce do Maranhão (MA),1836.29
2100204,Alcântara (MA),2991.36
2100303,Aldeias Altas (MA),1716.49
2100402,Altamira do Maranhão (MA),1730.88
2100436,Alto Alegre do Maranhão (MA),1358.62
2100477,Alto Alegre do Pindaré (MA),1904.4
2100501,Alto Parnaíba (MA),1716.85
2100550,Amapá do Maranhão (MA),1827.98
2100600,Amarante do Maranhão (MA),1592.52
2100709,Anajatuba (MA),2140.21
2100808,Anapurus (MA),1663.86
2100832,Apicum-Açu (MA),1515.2
2100873,Araguanã (MA),1885.6
2100907,Araioses (MA),1815.67
2100956,Arame (MA),1667
2101004,Arari (MA),1792.55
2101103,Axixá (MA),1613.23
2101202,Bacabal (MA),1722.09
2101251,Bacabeira (MA),1800.54
2101301,Bacuri (MA),1889.34
2101350,Bacurituba (MA),1530.12
2101400,Balsas (MA),2019.81
